"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"57310","2017","2017","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","42.6","","","37.1","48.3","607","34.74865012400045","-92.27449074299966","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","5","","","",""
"57311","2017","2017","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","40.2","","","35.8","44.8","1,019","34.74865012400045","-92.27449074299966","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","5","","","",""
"57312","2017","2017","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.6","","","27.6","33.7","2,539","34.74865012400045","-92.27449074299966","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","5","","","",""
"57334","2017","2017","2017","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","12.7","","","9.8","16.3","797","37.63864012300047","-120.99999953799971","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","6","","","",""
"57335","2017","2017","2017","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","22.6","","","19.8","25.6","1,449","37.63864012300047","-120.99999953799971","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","6","","","",""
"57336","2017","2017","2017","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.4","","","22.4","28.6","1,289","37.63864012300047","-120.99999953799971","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","6","","","",""
"57337","2017","2017","2017","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.6","","","28.3","35.1","1,313","37.63864012300047","-120.99999953799971","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","6","","","",""
"57338","2017","2017","2017","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.8","","","28.5","35.3","1,568","37.63864012300047","-120.99999953799971","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","6","","","",""
"57339","2017","2017","2017","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","24.2","","","21.5","27.2","2,059","37.63864012300047","-120.99999953799971","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","6","","","",""
"57361","2017","2017","2017","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","13.1","","","10.2","16.7","543","38.843840757000464","-106.13361092099967","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","8","","","",""
"57362","2017","2017","2017","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","19.1","","","16.5","22.0","1,051","38.843840757000464","-106.13361092099967","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","8","","","",""
"57363","2017","2017","2017","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.1","","","22.4","28.1","1,106","38.843840757000464","-106.13361092099967","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","8","","","",""
"57364","2017","2017","2017","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.7","","","25.1","30.6","1,382","38.843840757000464","-106.13361092099967","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","8","","","",""
"57365","2017","2017","2017","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.2","","","24.0","28.6","1,974","38.843840757000464","-106.13361092099967","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","8","","","",""
"57366","2017","2017","2017","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","22.4","","","20.7","24.2","3,007","38.843840757000464","-106.13361092099967","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","8","","","",""
"57388","2017","2017","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","16.2","","","12.4","20.8","413","41.56266102000046","-72.64984095199964","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","9","","","",""
"57389","2017","2017","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.2","","","23.5","31.2","725","41.56266102000046","-72.64984095199964","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","9","","","",""
"57390","2017","2017","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.0","","","23.7","30.6","958","41.56266102000046","-72.64984095199964","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","9","","","",""
"57391","2017","2017","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.5","","","28.8","34.4","1,696","41.56266102000046","-72.64984095199964","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","9","","","",""
"57392","2017","2017","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.0","","","27.6","32.5","2,342","41.56266102000046","-72.64984095199964","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","9","","","",""
"57393","2017","2017","2017","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.4","","","24.5","28.5","3,371","41.56266102000046","-72.64984095199964","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","9","","","",""
"57703","2017","2017","2017","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","15.5","","","11.0","21.4","215","39.008830667000495","-75.57774116799965","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","10","","","",""
"57704","2017","2017","2017","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.4","","","21.8","33.8","382","39.008830667000495","-75.57774116799965","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","10","","","",""
"57705","2017","2017","2017","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.7","","","29.3","42.7","392","39.008830667000495","-75.57774116799965","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","10","","","",""
"57706","2017","2017","2017","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.6","","","29.5","40.0","569","39.008830667000495","-75.57774116799965","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","10","","","",""
"57707","2017","2017","2017","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","37.4","","","32.9","42.0","803","39.008830667000495","-75.57774116799965","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","10","","","",""
"57708","2017","2017","2017","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.9","","","30.6","37.3","1,287","39.008830667000495","-75.57774116799965","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","10","","","",""
"57730","2017","2017","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","16.0","","","11.3","22.2","216","38.89037138500049","-77.03196112699965","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","11","","","",""
"57731","2017","2017","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","18.3","","","14.9","22.4","584","38.89037138500049","-77.03196112699965","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","11","","","",""
"57732","2017","2017","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","23.9","","","20.4","27.8","605","38.89037138500049","-77.03196112699965","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","11","","","",""
"57733","2017","2017","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.6","","","24.1","31.4","707","38.89037138500049","-77.03196112699965","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","11","","","",""
"57734","2017","2017","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.7","","","28.0","35.6","798","38.89037138500049","-77.03196112699965","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","11","","","",""
"57735","2017","2017","2017","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","24.2","","","21.4","27.3","1,181","38.89037138500049","-77.03196112699965","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","11","","","",""
"57757","2017","2017","2017","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","17.1","","","13.1","22.0","1,213","28.932040377000476","-81.92896053899966","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","12","","","",""
"57758","2017","2017","2017","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.6","","","23.7","31.9","2,184","28.932040377000476","-81.92896053899966","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","12","","","",""
"57759","2017","2017","2017","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.4","","","25.9","35.3","2,135","28.932040377000476","-81.92896053899966","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","12","","","",""
"57760","2017","2017","2017","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.4","","","29.6","37.4","2,908","28.932040377000476","-81.92896053899966","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","12","","","",""
"57761","2017","2017","2017","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.6","","","31.2","38.2","4,067","28.932040377000476","-81.92896053899966","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","12","","","",""
"57762","2017","2017","2017","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.4","","","23.2","27.6","7,406","28.932040377000476","-81.92896053899966","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","12","","","",""
"57402","2017","2017","2017","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","16.9","","","12.7","22.1","349","32.83968109300048","-83.62758034599966","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","13","","","",""
"57403","2017","2017","2017","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.1","","","25.1","33.3","639","32.83968109300048","-83.62758034599966","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","13","","","",""
"57404","2017","2017","2017","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","37.0","","","32.6","41.7","623","32.83968109300048","-83.62758034599966","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","13","","","",""
"57405","2017","2017","2017","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.2","","","32.3","40.4","783","32.83968109300048","-83.62758034599966","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","13","","","",""
"57406","2017","2017","2017","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","38.5","","","35.1","42.1","1,087","32.83968109300048","-83.62758034599966","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","13","","","",""
"57407","2017","2017","2017","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.3","","","26.7","32.0","1,888","32.83968109300048","-83.62758034599966","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","13","","","",""
"57429","2017","2017","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","15.9","","","12.5","19.8","467","21.304850435000446","-157.85774940299973","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","15","","","",""
"57430","2017","2017","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.8","","","22.9","31.0","866","21.304850435000446","-157.85774940299973","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","15","","","",""
"57431","2017","2017","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.5","","","24.9","32.4","953","21.304850435000446","-157.85774940299973","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","15","","","",""
"57432","2017","2017","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.0","","","25.7","32.6","1,162","21.304850435000446","-157.85774940299973","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","15","","","",""
"57433","2017","2017","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","22.2","","","19.8","24.9","1,505","21.304850435000446","-157.85774940299973","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","15","","","",""
"57434","2017","2017","2017","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","19.8","","","17.4","22.3","2,366","21.304850435000446","-157.85774940299973","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","15","","","",""
"57456","2017","2017","2017","ID","Idaho","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","16.2","","","12.0","21.4","288","43.682630005000476","-114.3637300419997","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","16","","","",""
